almaMmsId	rpbId	hbzId	zdbId
990055779300206441	RPB036t940093	HT007024140	919150-1
990056194170206441	RPB929t993588	HT007072991	1237314-X
990226613030206441	RPB929t080490	HT007006400	725889-6
990114528900206441	RPB036t020047	HT013126617	
990116081600206441	RPB036t020185	HT013283276	
990113675920206441	RPB036t020419	HT013040706	2045604-9
990115123890206441	RPB036t020420	HT013186616	2060650-3
990115123980206441	RPB036t020421	HT013186625	2060660-6
990114682460206441	RPB036t020422	HT013142080	2056856-3
990115124100206441	RPB036t020425	HT013186637	2060672-2
990115346390206441	RPB036t020427	HT013209043	2062290-9
990114171160206441	RPB036t020429	HT013090601	2051682-4
990056322400206441	RPB036t020430	HT007339794	1334017-7
990109681480206441	RPB036t020431	HT012816694	2006203-5
990113493320206441	RPB036t020432	HT013022419	2030469-9
990113333340206441	RPB036t020433	HT013006372	2020230-1
990115124170206441	RPB036t020434	HT013186644	2060680-1
990054439230206441	RPB036t020435	HT004540571	1057116-4
990108729750206441	RPB036t020436	HT012720422	1482945-9
990113067320206441	RPB036t020437	HT012979668	2003245-6
990101949340206441	RPB036t020438	HT012042381	30609-5
990054664510206441	RPB036t020439	HT006889094	11532-0
990113670380206441	RPB036t020440	HT013040152	2045034-5
990114625350206441	RPB036t020441	HT013136334	2056771-6
990102229000206441	RPB036t020442	HT012070347	120275-3
990101947530206441	RPB036t020443	HT012042200	30370-7
990107971890206441	RPB036t020467	HT012644636	1386127-X
990110283140206441	RPB036t020471	HT012877552	2030731-7
990108261590206441	RPB036t020474	HT012673606	1422847-6
990113118770206441	RPB036t020479	HT012984813	2008622-2
990108071650206441	RPB036t020480	HT012654612	1398859-1
990104959560206441	RPB036t020481	HT012343403	915101-1
990104984300206441	RPB036t020482	HT012345877	918160-X
990105003710206441	RPB036t020484	HT012347818	920462-3
990108893100206441	RPB036t020485	HT012736757	1502312-6
990105008850206441	RPB036t020486	HT012348332	921096-9
990055929050206441	RPB036t020487	HT007041878	1062195-7
990056627210206441	RPB036t020488	HT009978494	1448436-5
990113051680206441	RPB036t020489	HT012978104	2001593-8
990113062050206441	RPB036t020493	HT012979141	2002694-8
990113387780206441	RPB036t020495	HT013011834	2023309-7
990113115800206441	RPB036t020506	HT012984516	2008303-8
990056495290206441	RPB036t020507	HT008354935	914364-6
990113687470206441	RPB036t020508	HT013041861	2046793-X
990113119100206441	RPB036t020509	HT012984846	2008656-8
990107411600206441	RPB036t020511	HT012588607	1308905-5
990113168940206441	RPB036t020512	HT012989830	2013875-1
990101939590206441	RPB036t020513	HT012041406	29333-7
990109743620206441	RPB036t020514	HT012822986	2013382-0
990108509460206441	RPB036t020570	HT012698393	1454087-3
990107437050206441	RPB036t020571	HT012591152	1312173-X
990108509480206441	RPB036t020572	HT012698395	1454091-5
990132940160206441	RPB036t020642	HT014163238	2152111-6
990102639540206441	RPB036t021253	HT012111401	238231-3
990113409160206441	RPB036t021279	HT013013978	2024153-7
990116814140206441	RPB036t021280	HT013357340	2079024-7
990116214110206441	RPB036t021281	HT013296706	2065625-7
990116715990206441	RPB036t021282	HT013347403	2078826-5
990056486290206441	RPB036t021293	HT008260455	1418236-1
990116288670206441	RPB036t021295	HT013304162	2073245-4
990116474270206441	RPB036t021297	HT013322985	2076190-9
990113064260206441	RPB036t051873	HT012979362	2002928-7
990117204110206441	RPB036t021299	HT013396800	2082681-3
990116301520206441	RPB036t021302	HT013305447	2074584-9
990116224500206441	RPB036t021306	HT013297745	2066678-0
990116952090206441	RPB036t021307	HT013371286	2080744-2
