ANG	DE-294-20
ARB	DE-294-60
ARCH	DE-294-19
ASTRO	DE-294-43
BERG	DE-294-48
BIO	DE-294-7
BOT	DE-294-64
CHEM	DE-294-8
DEU	DE-294-56
ELEK	DE-294-9
EMED	DE-294-47
ENT	DE-294-25
ERZ	DE-294-27
EVTH	DE-294-21
FRIE	DE-294-57
GER	DE-294-23
HEG	DE-294-24
HIS	DE-294-11
IB	DE-294-22
IC	DE-294-51
ICAMS	DE-294-71
IPA	DE-294-70
KBERG	DE-294-63
KLPHIL	DE-294-34
KNAPP	DE-294-62
KOMP	DE-294-61
KTH	DE-294-38
KUN	DE-294-30
MED	DE-294-14
MEDIEN	DE-294-55
NEURO	DE-294-59
OAW	DE-294-15
ORI	DE-294-35
PHILO	DE-294-28
PHYS	DE-294-16
ROM	DE-294-33
SLA	DE-294-36
SOZ	DE-294-17
SPORT	DE-294-26
SPR	DE-294-37
SPRLE	DE-294-42
THEA	DE-294-66
UB	DE-294
WERK	DE-294-45
WIWI	DE-294-18
ZRS	DE-294-39
