MemberCode[+LibraryCode]+LocationCode	status
49HBZ_BIE+Abgesetzt	suppressed
49HBZ_BIE+Platz	suppressed
49HBZ_BIE+Verlust	suppressed
49HBZ_BIE+Zsn_VM_Fak	suppressed
49HBZ_BRS+RHB_DG	suppressed
49HBZ_BRS+RHB_NONMED	suppressed
49HBZ_BRS+STA_DG	suppressed
49HBZ_BRS+STA_ILL	suppressed
49HBZ_BRS+STA_NONMED	suppressed
49HBZ_DET+LLB_AUSGES	suppressed
49HBZ_DET+RES_SHARE	suppressed
49HBZ_DUE+47	suppressed
49HBZ_DUE+56	suppressed
49HBZ_DUE+AE	suppressed
49HBZ_DUE+MAK	suppressed
49HBZ_DUE+NB	suppressed
49HBZ_DUE+OUT_RS_ZB	suppressed
49HBZ_DUE+VERBR	suppressed
49HBZ_DUE+VERL	suppressed
49HBZ_EDK+B-INT	suppressed
49HBZ_EDK+D-BB	suppressed
49HBZ_EDK+D-INT	suppressed
49HBZ_EDK+D-RET	suppressed
49HBZ_EDK+UNASSIGNED	suppressed
49HBZ_EDK+W-DG	suppressed
49HBZ_EDK+W-DUE	suppressed
49HBZ_EDK+W-INT	suppressed
49HBZ_EDK+W-PAU	suppressed
49HBZ_EDK+W-RET	suppressed
49HBZ_EVH+MAK	suppressed
49HBZ_EVH+XXX	suppressed
49HBZ_FDO+EFS_NonMed	suppressed
49HBZ_FDO+EFS_Verw	suppressed
49HBZ_FDO+MOP_NonMed	suppressed
49HBZ_FDO+OUT_RS_REQ	suppressed
49HBZ_FDO+SON_NonMed	suppressed
49HBZ_FHA+ILL	suppressed
49HBZ_FHM+DMB_F	suppressed
49HBZ_FHM+DMB_H	suppressed
49HBZ_FHM+DMB_S	suppressed
49HBZ_FHM+ILL	suppressed
49HBZ_FHM+LBA_V	suppressed
49HBZ_FHM+PB_V	suppressed
49HBZ_FHM+Stb_B	suppressed
49HBZ_FHM+TsH_F	suppressed
49HBZ_FHM+TsH_S	suppressed
49HBZ_FHM+TsM_F	suppressed
49HBZ_FHM+TsM_H	suppressed
49HBZ_FHM+TsM_L	suppressed
49HBZ_FHM+TsM_S	suppressed
49HBZ_FHM+TsT_H	suppressed
49HBZ_FHM+TsT_L	suppressed
49HBZ_FHM+TsT_S	suppressed
49HBZ_FSW+OUT_RS_REQ	suppressed
49HBZ_FUH+AUSTRA	suppressed
49HBZ_HBI+Auss	suppressed
49HBZ_HBI+BiblVerw	suppressed
49HBZ_HBI+CB_ZSReg	suppressed
49HBZ_HBI+CM_Auss	suppressed
49HBZ_HBI+CM_Schran	suppressed
49HBZ_HBI+CM_ZSReg	suppressed
49HBZ_HBI+Dauerausl	suppressed
49HBZ_HBI+ILL_CB	suppressed
49HBZ_HBI+ILL_CM	suppressed
49HBZ_HBI+ILL	suppressed
49HBZ_HBI+LAM_Auss	suppressed
49HBZ_HBI+LAM_ZSReg	suppressed
49HBZ_HBO+OUT_RS_REQ	suppressed
49HBZ_HGB+LOSTPAID	suppressed
49HBZ_HGB+LOST	suppressed
49HBZ_HHL+Delete	suppressed
49HBZ_HHL+Dep1_LP	suppressed
49HBZ_HHL+Dep1	suppressed
49HBZ_HHL+Dep2_LP	suppressed
49HBZ_HHL+Dep2	suppressed
49HBZ_HHL+EKR_LP	suppressed
49HBZ_HHL+Hide	suppressed
49HBZ_HHL+LOST	suppressed
49HBZ_HHL+MAGAZIN	suppressed
49HBZ_HHL+MATERIAL	suppressed
49HBZ_HHL+PRAES_HAM	suppressed
49HBZ_HHL+PRAES_LP	suppressed
49HBZ_HHL+SZ_HAM	suppressed
49HBZ_HHL+Ver_Lip	suppressed
49HBZ_HHL+VER	suppressed
49HBZ_HHL+ZfW-IT_HAM	suppressed
49HBZ_HHL+ZfW-IT_LP	suppressed
49HBZ_HMT+MAK	suppressed
49HBZ_HSD+AusS	suppressed
49HBZ_HSL+aus	suppressed
49HBZ_HSL+FL	suppressed
49HBZ_HSN+ILL	suppressed
49HBZ_HST+Reparatur	suppressed
49HBZ_HST+Schlü/USB	suppressed
49HBZ_HSW+00002	suppressed
49HBZ_HSW+00003	suppressed
49HBZ_HSW+00004	suppressed
49HBZ_HSW+00200	suppressed
49HBZ_HSW+00202	suppressed
49HBZ_HSW+00204	suppressed
49HBZ_HSW+00301	suppressed
49HBZ_KHM+FH04	suppressed
49HBZ_KHM+MAG04	suppressed
49HBZ_LBZ+RES_SHARE_PLB	suppressed
49HBZ_LBZ+RES_SHARE	suppressed
49HBZ_LBZ+RES_SHARE_ZWB	suppressed
49HBZ_OWL+ILL	suppressed
49HBZ_PAD+12	suppressed
49HBZ_PAD+13	suppressed
49HBZ_PAD+DA	suppressed
49HBZ_PAD+DG	suppressed
49HBZ_PAD+ILL	suppressed
49HBZ_PAD+LL	suppressed
49HBZ_PAD+MI	suppressed
49HBZ_PAD+PF	suppressed
49HBZ_PAD+UA	suppressed
49HBZ_PAD+UMZ	suppressed
49HBZ_PAD+UNASSIGNED	suppressed
49HBZ_RFH+Sonder	suppressed
49HBZ_RFH+Test	suppressed
49HBZ_RHW+KAM AFL	suppressed
49HBZ_RHW+KAM PFL	suppressed
49HBZ_RHW+KLE AFL	suppressed
49HBZ_RHW+KLE PFL	suppressed
49HBZ_RTU+AUS02	suppressed
49HBZ_RTU+AUS12	suppressed
49HBZ_RTU+AUS14	suppressed
49HBZ_RTU+AUS2	suppressed
49HBZ_RTU+AUS32	suppressed
49HBZ_RTU+AUS36	suppressed
49HBZ_RTU+AUS42	suppressed
49HBZ_RTU+AUS48	suppressed
49HBZ_RTU+AUS54	suppressed
49HBZ_RTU+AUSLD	suppressed
49HBZ_RTU+NFSLD	suppressed
49HBZ_RUW+ILL	suppressed
49HBZ_RUW+SF_MH	suppressed
49HBZ_RUW+UNASSIGNED	suppressed
49HBZ_THK+LOESCH_D	suppressed
49HBZ_THK+LOESCH_G	suppressed
49HBZ_THK+LOESCH_L	suppressed
49HBZ_THK+LOESCH_S	suppressed
49HBZ_THK+PFL	suppressed
49HBZ_UBD+BAB SemApp	suppressed
49HBZ_UBD+BAB Verm-Auss	suppressed
49HBZ_UBD+Bde-in-Erw	suppressed
49HBZ_UBD+BHA Archiv	suppressed
49HBZ_UBD+BHA Ausbildung	suppressed
49HBZ_UBD+BHA Best-Aufb	suppressed
49HBZ_UBD+BHA Direktion	suppressed
49HBZ_UBD+BHA Geschichte	suppressed
49HBZ_UBD+BHA Philosoph	suppressed
49HBZ_UBD+BHA Physik	suppressed
49HBZ_UBD+BHA Theologie	suppressed
49HBZ_UBD+BHA Wirtschaft	suppressed
49HBZ_UBD+BR SemApp	suppressed
49HBZ_UBD+BR Verm-Auss	suppressed
49HBZ_UBD+CET_InnoL	suppressed
49HBZ_UBD+CET	suppressed
49HBZ_UBD+Dez_Bau	suppressed
49HBZ_UBD+Direktion	suppressed
49HBZ_UBD+DoBuS	suppressed
49HBZ_UBD+DoKoLL	suppressed
49HBZ_UBD+EFB SchliessF	suppressed
49HBZ_UBD+EFB SemApp	suppressed
49HBZ_UBD+EFB Verm-Auss	suppressed
49HBZ_UBD+FunkenReha	suppressed
49HBZ_UBD+Funken	suppressed
49HBZ_UBD+FunkenTheo	suppressed
49HBZ_UBD+HA CET_InnoL	suppressed
49HBZ_UBD+HA CET	suppressed
49HBZ_UBD+HA Dez_Bau	suppressed
49HBZ_UBD+HA DoBuS	suppressed
49HBZ_UBD+HA DoKoLL	suppressed
49HBZ_UBD+HA FunkenReha	suppressed
49HBZ_UBD+HA Funken	suppressed
49HBZ_UBD+HA FunkenTheo	suppressed
49HBZ_UBD+HA HDZ	suppressed
49HBZ_UBD+HA HRZ	suppressed
49HBZ_UBD+HA HSP	suppressed
49HBZ_UBD+HA IFS	suppressed
49HBZ_UBD+HA itmc	suppressed
49HBZ_UBD+HA K4D	suppressed
49HBZ_UBD+HA LH0003	suppressed
49HBZ_UBD+HA LH0007	suppressed
49HBZ_UBD+HA LH0024	suppressed
49HBZ_UBD+HA LH0028	suppressed
49HBZ_UBD+HA LH0030W	suppressed
49HBZ_UBD+HA LH0032	suppressed
49HBZ_UBD+HA LH0033	suppressed
49HBZ_UBD+HA LH0048	suppressed
49HBZ_UBD+HA LH0067	suppressed
49HBZ_UBD+HA LH0069	suppressed
49HBZ_UBD+HA LH0072P	suppressed
49HBZ_UBD+HA LH0072	suppressed
49HBZ_UBD+HA LH0075	suppressed
49HBZ_UBD+HA LH0079	suppressed
49HBZ_UBD+HA LH0084	suppressed
49HBZ_UBD+HA LH0085	suppressed
49HBZ_UBD+HA LH0087	suppressed
49HBZ_UBD+HA LH0090	suppressed
49HBZ_UBD+HA LH0093	suppressed
49HBZ_UBD+HA LH0095	suppressed
49HBZ_UBD+HA LH0097	suppressed
49HBZ_UBD+HA LH0101	suppressed
49HBZ_UBD+HA LH0102P	suppressed
49HBZ_UBD+HA LH0102	suppressed
49HBZ_UBD+HA LH0105P	suppressed
49HBZ_UBD+HA LH0105	suppressed
49HBZ_UBD+HA LH0110P	suppressed
49HBZ_UBD+HA LH0110	suppressed
49HBZ_UBD+HA LH0112P	suppressed
49HBZ_UBD+HA LH0112	suppressed
49HBZ_UBD+HA LH0132P	suppressed
49HBZ_UBD+HA LH0132	suppressed
49HBZ_UBD+HA LH0150	suppressed
49HBZ_UBD+HA LH0151	suppressed
49HBZ_UBD+HA LH0155	suppressed
49HBZ_UBD+HA LH0157P	suppressed
49HBZ_UBD+HA LH0173	suppressed
49HBZ_UBD+HA LH0176	suppressed
49HBZ_UBD+HA LH0177	suppressed
49HBZ_UBD+HA LH0180	suppressed
49HBZ_UBD+HA LH0182	suppressed
49HBZ_UBD+HA LH0183	suppressed
49HBZ_UBD+HA LH0184	suppressed
49HBZ_UBD+HA LH0185	suppressed
49HBZ_UBD+HA LH0186	suppressed
49HBZ_UBD+HA LH0188	suppressed
49HBZ_UBD+HA LH0200	suppressed
49HBZ_UBD+HA LH0202S	suppressed
49HBZ_UBD+HA LH0202	suppressed
49HBZ_UBD+HA LH0203S	suppressed
49HBZ_UBD+HA LH0203	suppressed
49HBZ_UBD+HA LH0204	suppressed
49HBZ_UBD+HA LH0209	suppressed
49HBZ_UBD+HA LH0210	suppressed
49HBZ_UBD+HA LH0217P	suppressed
49HBZ_UBD+HA LH0217	suppressed
49HBZ_UBD+HA LH0220	suppressed
49HBZ_UBD+HA LH0230	suppressed
49HBZ_UBD+HA LH0245P	suppressed
49HBZ_UBD+HA LH0245	suppressed
49HBZ_UBD+HA LH0302	suppressed
49HBZ_UBD+HA LH0305P	suppressed
49HBZ_UBD+HA LH0305	suppressed
49HBZ_UBD+HA LH0310	suppressed
49HBZ_UBD+HA LH0319P	suppressed
49HBZ_UBD+HA LH0319	suppressed
49HBZ_UBD+HA LH0320P	suppressed
49HBZ_UBD+HA LH0320	suppressed
49HBZ_UBD+HA LH0323P	suppressed
49HBZ_UBD+HA LH0323	suppressed
49HBZ_UBD+HA LH0324P	suppressed
49HBZ_UBD+HA LH0324	suppressed
49HBZ_UBD+HA LH0417	suppressed
49HBZ_UBD+HA LH0418	suppressed
49HBZ_UBD+HA LH0426	suppressed
49HBZ_UBD+HA LH0430	suppressed
49HBZ_UBD+HA LH0453	suppressed
49HBZ_UBD+HA LH0454	suppressed
49HBZ_UBD+HA LH0456	suppressed
49HBZ_UBD+HA LH0460	suppressed
49HBZ_UBD+HA LH0475	suppressed
49HBZ_UBD+HA LH0480	suppressed
49HBZ_UBD+HA LH0485	suppressed
49HBZ_UBD+HA LH0490	suppressed
49HBZ_UBD+HA LH0500	suppressed
49HBZ_UBD+HA LH0501S	suppressed
49HBZ_UBD+HA LH0501	suppressed
49HBZ_UBD+HA LH0502	suppressed
49HBZ_UBD+HA LH0504P	suppressed
49HBZ_UBD+HA LH0506	suppressed
49HBZ_UBD+HA LH0508S	suppressed
49HBZ_UBD+HA LH0509	suppressed
49HBZ_UBD+HA LH0512	suppressed
49HBZ_UBD+HA LH0517	suppressed
49HBZ_UBD+HA LH0822	suppressed
49HBZ_UBD+HA LH0900	suppressed
49HBZ_UBD+HA LH0902	suppressed
49HBZ_UBD+HA LH1208	suppressed
49HBZ_UBD+HA LH1280	suppressed
49HBZ_UBD+HA LH1300P	suppressed
49HBZ_UBD+HA LH1310P	suppressed
49HBZ_UBD+HA LH1310	suppressed
49HBZ_UBD+HA LH1317P	suppressed
49HBZ_UBD+HA LH1329	suppressed
49HBZ_UBD+HA LH1342	suppressed
49HBZ_UBD+HA LH1354P	suppressed
49HBZ_UBD+HA LH1354	suppressed
49HBZ_UBD+HA LH1372	suppressed
49HBZ_UBD+HA LH1385	suppressed
49HBZ_UBD+HA LH1401	suppressed
49HBZ_UBD+HA LH1402	suppressed
49HBZ_UBD+HA LH1453	suppressed
49HBZ_UBD+HA LH1457	suppressed
49HBZ_UBD+HA LH1464	suppressed
49HBZ_UBD+HA LH1512	suppressed
49HBZ_UBD+HA LH1515	suppressed
49HBZ_UBD+HA LH1603	suppressed
49HBZ_UBD+HA LH1624	suppressed
49HBZ_UBD+HA LH2000	suppressed
49HBZ_UBD+HA LH2001	suppressed
49HBZ_UBD+HA LH2002	suppressed
49HBZ_UBD+HA LH2003	suppressed
49HBZ_UBD+HA LH2004	suppressed
49HBZ_UBD+HA LH2005	suppressed
49HBZ_UBD+HA LH2006	suppressed
49HBZ_UBD+HA LH2007	suppressed
49HBZ_UBD+HA LH2008	suppressed
49HBZ_UBD+HA LH2009	suppressed
49HBZ_UBD+HA LH2012	suppressed
49HBZ_UBD+HA LH2013	suppressed
49HBZ_UBD+HA LH2014	suppressed
49HBZ_UBD+HA LH2015	suppressed
49HBZ_UBD+HA LH2016	suppressed
49HBZ_UBD+HA LH2017	suppressed
49HBZ_UBD+HA LH2050	suppressed
49HBZ_UBD+HA LH2051	suppressed
49HBZ_UBD+HA LH2052	suppressed
49HBZ_UBD+HA LH2053	suppressed
49HBZ_UBD+HA LH2054	suppressed
49HBZ_UBD+HA LH2055S	suppressed
49HBZ_UBD+HA LH2057	suppressed
49HBZ_UBD+HA LH2058	suppressed
49HBZ_UBD+HA LH2060	suppressed
49HBZ_UBD+HA LH2062	suppressed
49HBZ_UBD+HA LH2063	suppressed
49HBZ_UBD+HA LH2064	suppressed
49HBZ_UBD+HA LH2065	suppressed
49HBZ_UBD+HA LH2066	suppressed
49HBZ_UBD+HA LH2067	suppressed
49HBZ_UBD+HA LH2068	suppressed
49HBZ_UBD+HA LH2100	suppressed
49HBZ_UBD+HA LH2101	suppressed
49HBZ_UBD+HA LH2103	suppressed
49HBZ_UBD+HA LH2104	suppressed
49HBZ_UBD+HA LH2106	suppressed
49HBZ_UBD+HA LH2107	suppressed
49HBZ_UBD+HA LH2108	suppressed
49HBZ_UBD+HA LH2109	suppressed
49HBZ_UBD+HA LH2110	suppressed
49HBZ_UBD+HA LH2111	suppressed
49HBZ_UBD+HA LH2112	suppressed
49HBZ_UBD+HA LH2113	suppressed
49HBZ_UBD+HA LH2114	suppressed
49HBZ_UBD+HA LH2115	suppressed
49HBZ_UBD+HA LH2116	suppressed
49HBZ_UBD+HA LH2117	suppressed
49HBZ_UBD+HA LH2150P	suppressed
49HBZ_UBD+HA LH2150	suppressed
49HBZ_UBD+HA LH2153	suppressed
49HBZ_UBD+HA LH2156	suppressed
49HBZ_UBD+HA LH2157	suppressed
49HBZ_UBD+HA LH2158	suppressed
49HBZ_UBD+HA LH2159	suppressed
49HBZ_UBD+HA LH2160	suppressed
49HBZ_UBD+HA LH2162	suppressed
49HBZ_UBD+HA LH2163	suppressed
49HBZ_UBD+HA LH2165	suppressed
49HBZ_UBD+HA LH2166	suppressed
49HBZ_UBD+HA LH2167	suppressed
49HBZ_UBD+HA LH2168	suppressed
49HBZ_UBD+HA LH2169	suppressed
49HBZ_UBD+HA LH2170	suppressed
49HBZ_UBD+HA LH2200	suppressed
49HBZ_UBD+HA LH2202	suppressed
49HBZ_UBD+HA LH2203	suppressed
49HBZ_UBD+HA LH2204	suppressed
49HBZ_UBD+HA LH2205	suppressed
49HBZ_UBD+HA LH2206	suppressed
49HBZ_UBD+HA LH2207	suppressed
49HBZ_UBD+HA LH2208	suppressed
49HBZ_UBD+HA LH2209	suppressed
49HBZ_UBD+HA LH2210	suppressed
49HBZ_UBD+HA LH2211	suppressed
49HBZ_UBD+HA LH2252	suppressed
49HBZ_UBD+HA LH2253	suppressed
49HBZ_UBD+HA LH2254	suppressed
49HBZ_UBD+HA LH2255P	suppressed
49HBZ_UBD+HA LH2256P	suppressed
49HBZ_UBD+HA LH2257	suppressed
49HBZ_UBD+HA LH2258	suppressed
49HBZ_UBD+HA LH2259	suppressed
49HBZ_UBD+HA LH2260	suppressed
49HBZ_UBD+HA LH2261	suppressed
49HBZ_UBD+HA LH2262	suppressed
49HBZ_UBD+HA LH2263	suppressed
49HBZ_UBD+HA LH2300S	suppressed
49HBZ_UBD+HA LH2300	suppressed
49HBZ_UBD+HA LH2301P	suppressed
49HBZ_UBD+HA LH2301	suppressed
49HBZ_UBD+HA LH2302	suppressed
49HBZ_UBD+HA LH2303	suppressed
49HBZ_UBD+HA LH2304	suppressed
49HBZ_UBD+HA LH2305	suppressed
49HBZ_UBD+HA LH2306	suppressed
49HBZ_UBD+HA LH2307	suppressed
49HBZ_UBD+HA LH2309	suppressed
49HBZ_UBD+HA LH2310	suppressed
49HBZ_UBD+HA LH2311	suppressed
49HBZ_UBD+HA LH2312	suppressed
49HBZ_UBD+HA LH2313	suppressed
49HBZ_UBD+HA LH2314	suppressed
49HBZ_UBD+HA LH2315	suppressed
49HBZ_UBD+HA LH2316	suppressed
49HBZ_UBD+HA LH2350P	suppressed
49HBZ_UBD+HA LH2350	suppressed
49HBZ_UBD+HA LH2351P	suppressed
49HBZ_UBD+HA LH2351	suppressed
49HBZ_UBD+HA LH2353	suppressed
49HBZ_UBD+HA LH2354	suppressed
