uri	code	term
http://id.loc.gov/vocabulary/relators/abr	abr	abridger
http://id.loc.gov/vocabulary/relators/acp	acp	art copyist
http://id.loc.gov/vocabulary/relators/act	act	actor
http://id.loc.gov/vocabulary/relators/adi	adi	art director
http://id.loc.gov/vocabulary/relators/adp	adp	adapter
http://id.loc.gov/vocabulary/relators/afd	afd	assistant film director
http://id.loc.gov/vocabulary/relators/aft	aft	author of afterword, colophon, etc.
http://id.loc.gov/vocabulary/relators/anc	anc	announcer
http://id.loc.gov/vocabulary/relators/anl	anl	analyst
http://id.loc.gov/vocabulary/relators/anm	anm	animator
http://id.loc.gov/vocabulary/relators/ann	ann	annotator
http://id.loc.gov/vocabulary/relators/ant	ant	bibliographic antecedent
http://id.loc.gov/vocabulary/relators/apb	apb	approbator
http://id.loc.gov/vocabulary/relators/ape	ape	appellee
http://id.loc.gov/vocabulary/relators/apl	apl	appellant
http://id.loc.gov/vocabulary/relators/app	app	applicant
http://id.loc.gov/vocabulary/relators/aqt	aqt	author in quotations or text abstracts
http://id.loc.gov/vocabulary/relators/arc	arc	architect
http://id.loc.gov/vocabulary/relators/ard	ard	artistic director
http://id.loc.gov/vocabulary/relators/arr	arr	arranger
http://id.loc.gov/vocabulary/relators/art	art	artist
http://id.loc.gov/vocabulary/relators/asg	asg	assignee
http://id.loc.gov/vocabulary/relators/asn	asn	associated name
http://id.loc.gov/vocabulary/relators/ato	ato	autographer
http://id.loc.gov/vocabulary/relators/att	att	attributed name
http://id.loc.gov/vocabulary/relators/auc	auc	auctioneer
http://id.loc.gov/vocabulary/relators/aud	aud	author of dialog
http://id.loc.gov/vocabulary/relators/aue	aue	audio engineer
http://id.loc.gov/vocabulary/relators/aui	aui	author of introduction, etc.
http://id.loc.gov/vocabulary/relators/aup	aup	audio producer
http://id.loc.gov/vocabulary/relators/aus	aus	screenwriter
http://id.loc.gov/vocabulary/relators/aut	aut	author
http://id.loc.gov/vocabulary/relators/bdd	bdd	binding designer
http://id.loc.gov/vocabulary/relators/bjd	bjd	bookjacket designer
http://id.loc.gov/vocabulary/relators/bka	bka	book artist
http://id.loc.gov/vocabulary/relators/bkd	bkd	book designer
http://id.loc.gov/vocabulary/relators/bkp	bkp	book producer
http://id.loc.gov/vocabulary/relators/blw	blw	blurb writer
http://id.loc.gov/vocabulary/relators/bnd	bnd	binder
http://id.loc.gov/vocabulary/relators/bpd	bpd	bookplate designer
http://id.loc.gov/vocabulary/relators/brd	brd	broadcaster
http://id.loc.gov/vocabulary/relators/brl	brl	braille embosser
http://id.loc.gov/vocabulary/relators/bsl	bsl	bookseller
http://id.loc.gov/vocabulary/relators/cad	cad	casting director
http://id.loc.gov/vocabulary/relators/cas	cas	caster
http://id.loc.gov/vocabulary/relators/ccp	ccp	conceptor
http://id.loc.gov/vocabulary/relators/chr	chr	choreographer
http://id.loc.gov/vocabulary/relators/clb	clb	collaborator
http://id.loc.gov/vocabulary/relators/cli	cli	client
http://id.loc.gov/vocabulary/relators/cll	cll	calligrapher
http://id.loc.gov/vocabulary/relators/clr	clr	colorist
http://id.loc.gov/vocabulary/relators/clt	clt	collotyper
